model,temp,temp lower 95th,temp upper 95th,bd,bd lower 95th,bd upper 95th,qbo,qbo lower 95th,qbo upper 95th
CCSRNIES,0.016668711823132374,0.01029258416011358,0.02304483948615117,0.008367313598983291,0.014637000954336761,0.0020976262436298216,0.007562122483727729,0.001824739222402749,0.01329950574505271
CCSRNIES-MIROC3.2,0.08959938835482766,0.078229962817309,0.1009688138923463,0.06810501746570016,0.08014093533677753,0.05606909959462277,0.03384387214417306,0.021935799406474527,0.0457519448818716
CMAM,0.09590002763289032,0.08727906252539261,0.10452099274038802,0.05108124059938545,0.05936361147999877,0.04279886971877213,0.0016596620550541473,0.010201925557380698,0.006882601447272403
CMAM_CCMI,0.09051086822831485,0.08148578764352749,0.09953594881310222,0.05583281904051458,0.06517090427660378,0.04649473380442537,0.004522488712529306,0.005140372203862632,0.014185349628921245
CNRM-CM5-3,0.10434844269149865,0.09295143236720363,0.11574545301579367,0.0020059544866469206,0.013802865122811876,0.009790956149518039,0.034566299969999,0.04567475834616031,0.02345784159383769
GEOSCCM,0.08142248409817142,0.06994505322132269,0.09289991497502013,0.0930984458871479,0.10457467158238969,0.08162222019190613,0.011542167560781982,0.021933730836264084,0.0011506042852998774
GEOSCCM_CCMI,0.06226762533119334,0.04479715337759263,0.07973809728479404,0.13316005351119548,0.15138399797657448,0.11493610904581647,0.010474727078905913,0.02843434219339512,0.007484888035583295
LMDZrepro,0.2527523802734014,0.22382786682372866,0.28167689372307414,0.05373508813492146,0.07827120667897425,0.029198969590868686,0.004029501931811091,0.03311990022485433,0.02506089636123215
MRI,0.17886589203139636,0.15440767874246264,0.20332410532033007,0.2380066935046667,0.2641966186203516,0.21181676838898175,0.008436370005247128,0.014091702375832972,0.030964442386327225
MRI-ESM1r1,0.10892740299647503,0.0853126482453527,0.13254215774759737,0.13982348253650492,0.1639298069312354,0.11571715814177444,0.01392223854822474,0.03171232123725863,0.003867844140809149
NIWA-UKCA,0.07850151987569064,0.053954641837400404,0.10304839791398088,0.10787007543658084,0.1324685802615131,0.08327157061164857,0.004072593755730286,0.016788641947716152,0.024933829459176722
WACCM,0.06256941648528759,0.05010155578839597,0.07503727718217922,0.04337801138154677,0.055411951666669186,0.03134407109642436,0.004763939646937192,0.006947514558923636,0.016475393852798018
