model,temp,temp lower 95th,temp upper 95th,bd,bd lower 95th,bd upper 95th,qbo,qbo lower 95th,qbo upper 95th
CCSRNIES,0.08674812267674654,0.07270582203979498,0.1007904233136981,0.014881421485695321,0.02910294899174001,0.0006598939796506342,0.011575821836079777,0.0047411483714105964,0.018410495300748956
CCSRNIES-MIROC3.2,0.3874810602944875,0.3668613731638592,0.40810074742511576,0.09380270450066684,0.11500396663853013,0.07260144236280357,0.034377785640609046,0.017345359090210854,0.05141021219100724
CMAM,0.3893263081968128,0.37567321271305354,0.40297940368057206,0.07012377155950791,0.08052235674461064,0.05972518637440519,3.494508616178375e-05,0.013737435354740564,0.013667545182416996
CMAM_CCMI,0.26681458815933545,0.2552488976024189,0.27838027871625204,0.06937480718165542,0.08059150010680194,0.058158114256508915,0.008570001041198249,0.003471903567410528,0.020611905649807027
CNRM-CM5-3,0.37072007843371,0.3509961432405773,0.3904440136268427,0.0011896349603691973,0.021782373749021262,0.019403103828282864,0.03936183153741978,0.051515330969820104,0.027208332105019453
GEOSCCM,0.3605416657902332,0.33516246747931716,0.3859208641011493,0.206233679963944,0.23145512191101805,0.18101223801686997,0.015504226347996091,0.02796187708306556,0.003046575612926623
GEOSCCM_CCMI,0.3008740957630381,0.2678287179999742,0.33391947352610196,0.2146861995777478,0.2484966725853045,0.18087572657019105,0.01162051422909784,0.03532296256049112,0.012081934102295433
LMDZrepro,0.7198212461281034,0.6821743442972218,0.757468147958985,0.10673296968183929,0.14246212580892853,0.07100381355475006,0.013603805890898263,0.01996514222043747,0.04717275400223399
MRI,0.5748222950839845,0.5413632466565331,0.6082813435114358,0.32941645010089854,0.3649715054385237,0.29386139476327333,0.007773346774155087,0.01763981517805646,0.03318650872636664
MRI-ESM1r1,0.4874291581858243,0.44424832477538667,0.5306099915962619,0.2715470937235816,0.3152460251859102,0.22784816226125296,0.01679187961711396,0.03782323517213849,0.00423947593791057
NIWA-UKCA,0.352621665080655,0.31272709017903355,0.39251623998227647,0.20196411664450764,0.2418346932119182,0.16209354007709711,0.005119323079893288,0.022477909404969125,0.0327165555647557
WACCM,0.22307290421549705,0.20681219162143832,0.23933361680955575,0.05691792726934841,0.072438880308451,0.041396974230245825,0.006798442747129726,0.0076390697276924125,0.021235955221951864
