model,temp,temp lower 95th,temp upper 95th,bd,bd lower 95th,bd upper 95th,qbo,qbo lower 95th,qbo upper 95th,r2,adjusted r2
CCSRNIES,0.06560579423700728,0.05498589541066658,0.07622569306334799,-0.8301137715874496,-1.6234174117756779,-0.03681013139922129,0.016431393208536826,0.006729861106522012,0.02613292531055164,0.9194767336214187,0.9158511094634526
CCSRNIES-MIROC3.2,0.38502286171155736,0.3645339868731388,0.4055117365499759,-4.2587744408740775,-5.221341498909825,-3.2962073828383303,0.0054472143147724994,0.0027483994844466064,0.008146029145098392,0.9501834484476607,0.9462595660129363
CMAM,0.26143796606264247,0.2522697248249385,0.27060620730034646,-5.698341619474703,-6.543343099374278,-4.853340139575128,-3.7022307216723685e-05,-0.014554021979470375,0.014479977365036928,0.9840929240416069,0.9831737577048215
CMAM_CCMI,0.2378196537837353,0.2275108151891486,0.248128492378322,-5.496735941116308,-6.385462002446841,-4.608009879785774,0.008402814853148227,-0.003404172616163003,0.020209802322459457,0.9668776673971435,0.9651044480623528
CNRM-CM5-3,0.5338519658200872,0.5054486982629329,0.5622552333772415,-0.048491909874607775,-0.8878932949017853,0.7909094751525696,-0.03302036877714311,-0.04321585556004713,-0.02282488199423908,0.9792646732790887,0.9786508102056259
GEOSCCM,0.3676208895535686,0.34174337151757095,0.3934984075895662,-6.556783269256516,-7.358648069487068,-5.754918469025964,-0.017579545580736575,-0.03170471597044491,-0.0034543751910282375,0.9252488284683715,0.9226759489374886
GEOSCCM_CCMI,0.4568579515495757,0.406680672064188,0.5070352310349634,-7.978914255313365,-9.235496492967563,-6.722332017659166,-0.002078736819536878,-0.0063187515975629965,0.0021612779584892407,0.7819244828174229,0.7714337669434438
LMDZrepro,0.5504780949476007,0.5216878988926555,0.5792682910025458,-5.526226778272708,-7.376146441739195,-3.676307114806221,0.01414210074056348,-0.02075515152491347,0.049039353006040426,0.9547793140307013,0.9532629828061622
MRI,0.5712576722650693,0.5380061121145058,0.6045092324156328,-11.534417820078593,-12.77936737786349,-10.289468262293695,0.0019161405708323735,-0.004348238475226465,0.008180519616891212,0.9310268553430338,0.9287750805785611
MRI-ESM1r1,0.5333999262726883,0.48614659115575254,0.580653261389624,-7.174413026875919,-8.328961134332472,-6.019864919419366,-0.005223195072320908,-0.011765099564494327,0.0013187094198525108,0.8882089516233928,0.8847023255166903
NIWA-UKCA,0.3587876601466084,0.3181954827538143,0.3993798375394025,-5.7655158928161425,-6.903710373471178,-4.627321412161107,0.0011153546134810993,-0.004897295905138518,0.007128005132100716,0.777342894027407,0.7676166334589128
WACCM,0.251773447076286,0.23342063243875405,0.270126261713818,-3.6372848757957787,-4.629136309174769,-2.6454334424167882,0.013166222085985809,-0.014794224546142263,0.04112666871811388,0.9049283418029511,0.9006351228011152
